	0
201	1.2346802
203	1.2655032
204	1.4131051
205	1.1323183
206	0.67041266
207	0.4836919
208	1.0120481
210	1.5953721
211	1.8008219
212	0.8247447
213	1.1606827
214	0.85399723
216	1.5817864
217	0.74166393
218	1.4800837
219	0.50196594
220	1.5219333
221	0.50196594
222	0.6754141
225	0.48844868
226	0.59761757
229	1.1646117
230	0.84668565
231	1.7710037
232	0.53884614
237	0.4643444
238	0.84668565
239	2.1319737
240	1.2320067
241	1.3367064
242	0.79334664
244	1.2401942
246	1.2101365
247	0.49288905
248	1.1475139
249	1.4489381
250	1.0377119
252	1.142995
253	1.5650575
254	0.9545069
255	0.5159238
256	1.6228421
257	1.2336788
258	1.0875887
259	1.7996581
261	1.4168448
263	1.4962769
264	1.5407579
265	1.572403
267	1.2682295
268	0.7533363
273	1.120759
275	0.56331253
277	1.2264724
279	0.6264317
284	1.5886534
286	0.8958577
287	1.3501232
288	1.2458751
289	1.1589452
290	0.6841555
291	0.91498226
292	1.446351
293	1.4325479
294	1.2954186
295	0.69008625
296	1.1439891
297	1.3885852
298	0.52750486
299	1.1736089
300	1.0393406
301	1.197448
302	0.8768919
303	1.2657528
304	1.0830096
305	0.73959965
307	0.4803974
310	0.5333875
311	1.3926857
312	0.68122226
313	1.1883185
314	1.1557585
316	1.4161583
317	1.182787
318	1.1173934
319	0.6405808
321	1.2317333
322	1.1449591
323	1.7937145
324	1.8153902
325	1.1770382
326	0.6123178
327	0.6609867
328	1.3464696
329	1.5980511
330	1.3599584
332	1.3102809
333	1.3325272
334	0.8450919
335	1.6869998
336	2.0520935
338	0.4873993
339	1.7301216
340	1.3888016
341	1.0655379
342	1.2970771
343	1.2053827
344	0.8618387
345	1.1050944
346	0.943475
347	0.7276195
348	1.3544785
349	1.0797279
350	1.5745945
351	0.87605685
352	0.73271227
353	1.6543597
354	1.1136738
355	2.0926986
356	1.4260795
357	0.84668565
358	1.5678687
359	1.1586088
360	1.4784358
361	0.9868709
362	0.5045069
363	1.1837164
364	0.6266118
365	0.79703414
366	0.8157521
367	1.6140153
368	1.3935733
369	0.9213216
370	0.84668565
371	1.0305374
372	0.9681138
373	1.5410312
374	1.3652126
375	1.0323917
376	1.32031
379	0.90161926
380	1.0519884
381	1.6951485
384	1.1037335
385	0.61742
386	0.47184503
388	0.46691743
389	0.58194906
390	1.2498096
391	1.3058082
393	1.2048573
394	1.1943349
395	0.817024
396	1.222566
397	1.2131068
401	1.5261722
402	1.2648311
404	0.85582095
405	1.3523458
406	0.94906735
407	1.3436292
408	0.56927663
409	1.0481
410	1.1476108
411	1.3958353
412	1.0048699
413	1.2517695
414	1.3056376
416	1.7253542
417	0.52563167
418	1.1623449
419	0.58097374
422	1.0636027
426	0.9916669
427	1.0413306
428	1.1954426
429	1.2273612
430	0.5247273
432	1.3838706
433	0.9530159
434	1.2922311
435	1.0928417
436	0.84668565
437	0.7861105
438	0.98051226
440	0.84668565
